Date,Prompt,Response
"1/23/2025","What was the best part of my day?","test1"
"1/23/2025","What was the weirdest thing you saw?","test2"
"1/23/2025","What was the strongest emotion I felt today?","test3"
"1/23/2025","How did I see the hand of the Lord in my life today?","test4"
"1/23/2025","What was the strongest emotion I felt today?","test5"
"1/23/2025","How did I see the hand of the Lord in my life today?","test6"
"1/23/2025","What was the strongest emotion I felt today?","test1"
"1/23/2025","How did I see the hand of the Lord in my life today?","trest1"
"1/23/2025","What was the strongest emotion I felt today?","test1"
"1/23/2025","If I had one thing I could do over today, what would it be?","test,1,1"
